first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m,name
David,Raya Martín,0,0,46,810,3,10.1,155.4,0.0,3,192,16.5,6,0,1,30.4,58,GK,7.9,David Raya Martín
Kepa,Arrizabalaga Revuelta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,42,GK,0.0,Kepa Arrizabalaga Revuelta
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK,0.0,Karl Hein
Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0,Tommy Setford
Gabriel,dos Santos Magalhães,1,1,68,810,3,35.9,261.2,80.0,11,234,37.7,6,0,0,38.4,65,DEF,10.5,Gabriel dos Santos Magalhães
William,Saliba,0,0,32,544,1,23.5,133.2,10.0,1,145,16.7,4,0,0,11.9,60,DEF,5.3,William Saliba
Riccardo,Calafiori,1,2,54,695,3,78.2,122.6,129.0,3,181,32.9,6,0,3,15.8,58,DEF,9.3,Riccardo Calafiori
Jurriën,Timber,2,2,60,701,3,171.6,219.6,191.0,7,230,58.4,5,0,2,24.5,61,DEF,9.8,Jurriën Timber
Jakub,Kiwior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,DEF,0.0,Jakub Kiwior
Myles,Lewis-Skelly,0,0,5,85,0,7.2,7.8,4.0,0,16,1.8,0,0,1,1.7,52,DEF,1.0,Myles Lewis-Skelly
Benjamin,White,0,0,6,70,0,11.3,15.4,1.0,0,23,2.8,1,0,0,0.4,54,DEF,1.1,Benjamin White
Brayden,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,39,DEF,0.0,Brayden Clarke
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0,Maldini Kacurri
Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF,0.0,Josh Nichols
Bukayo,Saka,2,0,30,501,1,196.3,132.2,143.0,2,109,47.1,4,0,0,17.2,100,MID,3.0,Bukayo Saka
Martin,Ødegaard,0,1,13,201,1,65.0,43.0,22.0,0,47,13.0,1,0,0,1.4,79,MID,1.6,Martin Ødegaard
Noni,Madueke,0,0,10,304,2,111.7,30.2,105.0,0,39,24.6,2,0,0,0.6,68,MID,1.5,Noni Madueke
Gabriel,Martinelli Silva,1,0,16,214,0,30.6,51.0,93.0,1,56,17.5,1,0,0,1.1,69,MID,2.3,Gabriel Martinelli Silva
Leandro,Trossard,1,1,25,462,2,107.7,81.4,146.0,2,82,33.5,3,0,0,0.5,69,MID,3.6,Leandro Trossard
Declan,Rice,1,4,50,713,3,266.7,193.2,72.0,7,191,53.2,5,0,0,14.2,67,MID,7.5,Declan Rice
Mikel,Merino Zazón,1,0,17,278,1,45.1,73.0,68.0,0,61,18.3,2,0,0,0.6,59,MID,2.9,Mikel Merino Zazón
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0,Fábio Ferreira Vieira
Christian,Nørgaard,0,0,1,1,0,0.0,1.0,0.0,0,3,0.1,0,0,0,0.1,52,MID,0.2,Christian Nørgaard
Ethan,Nwaneri,0,0,6,145,0,22.0,8.2,21.0,0,15,5.0,1,0,0,0.1,52,MID,1.2,Ethan Nwaneri
Martín,Zubimendi Ibáñez,2,0,40,771,3,126.3,170.8,47.0,3,167,34.5,6,0,1,3.8,55,MID,7.3,Martín Zubimendi Ibáñez
Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0,Ismeal Kabia
Albert,Sambi Lokonga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0,Albert Sambi Lokonga
Kai,Havertz,0,0,1,30,0,0.8,2.8,2.0,0,4,0.6,0,0,0,0.3,73,FWD,0.1,Kai Havertz
Gabriel,Fernando de Jesus,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,64,FWD,0.0,Gabriel Fernando de Jesus
Eberechi,Eze,1,3,36,542,2,87.8,119.0,165.0,3,123,37.2,5,0,0,14.1,76,MID,4.7,Eberechi Eze
Cristhian,Mosquera,0,0,13,292,2,13.4,67.0,8.0,1,64,8.9,1,0,0,0.2,54,DEF,2.4,Cristhian Mosquera
Viktor,Gyökeres,3,0,30,756,3,73.4,121.6,275.0,2,104,46.9,5,0,1,21.6,90,FWD,3.3,Viktor Gyökeres
Max,Dowman,0,1,5,27,0,0.8,1.0,26.0,0,13,2.8,0,0,0,0.3,44,MID,1.1,Max Dowman
