gw,captain,vice_captain,chip,trade_outs,trade_ins,bank_before,bank_after,free_transfers_before,free_transfers_after,trade_gain,squad_value
3,Mohamed Salah,Erling Haaland,None,,,0.2,0.2,1,1,0,95.1
3,Mohamed Salah,Erling Haaland,None,,,0.2,0.2,1,1,0,95.1
3,Mohamed Salah,Erling Haaland,None,,,0.2,0.2,1,1,0,95.1
3,Mohamed Salah,Erling Haaland,None,,,0.2,0.2,1,1,0,95.1
3,Mohamed Salah,Erling Haaland,None,,,0.2,0.2,1,1,0,95.1
3,Mohamed Salah,Erling Haaland,None,,,0.2,0.2,1,1,0,95.1
3,Mohamed Salah,Erling Haaland,None,Ola Aina,Saša Lukić,0.2,5.1,1,0,0.28644386821659024,95.1
3,Mohamed Salah,Erling Haaland,None,Ola Aina,Saša Lukić,0.2,5.1,1,0,0.28644386821659024,95.1
3,Mohamed Salah,Erling Haaland,None,Ola Aina,Saša Lukić,0.2,5.1,1,0,0.28644386821659024,95.1
3,Mohamed Salah,Erling Haaland,None,Jordan Pickford,Norberto Bercique Gomes Betuncal,0.2,5.2,1,0,0.4285641575141642,95.1
3,Mohamed Salah,Erling Haaland,None,,,0.2,0.2,1,1,0.0,95.1
3,Moisés Caicedo Corozo,Ezri Konsa Ngoyo,None,,,0.2,0.2,2,2,0.0,95.1
3,Moisés Caicedo Corozo,Ezri Konsa Ngoyo,None,,,0.2,0.2,2,2,0.0,95.1
3,Mohamed Salah,Moisés Caicedo Corozo,None,,,0.2,0.2,2,2,0.0,85.4
3,Mohamed Salah,Erling Haaland,None,"Florian Wirtz, Gabriel dos Santos Magalhães","Chris Wood, Norberto Bercique Gomes Betuncal",0.2,1.6,2,0,1.0424959795687683,95.1
3,Mohamed Salah,Erling Haaland,None,"Florian Wirtz, Gabriel dos Santos Magalhães","Chris Wood, Norberto Bercique Gomes Betuncal",0.2,1.6,2,0,1.0424959795687683,95.1
3,Mohamed Salah,Erling Haaland,None,"Erling Haaland, Viktor Gyökeres","Chris Wood, Chris Wood",0.2,77.2,2,2,0.8478848382260991,95.1
3,Mohamed Salah,Erling Haaland,None,"Ola Aina, Viktor Gyökeres","Saša Lukić, Chris Wood",0.2,13.2,2,2,0.7834265792242006,95.1
4,Viktor Gyökeres,Mohamed Salah,None,"Ola Aina, Viktor Gyökeres","Yerson Mosquera Valdelamar, Cody Gakpo",0.2,18.2,2,2,0.8278842429788665,95.1
4,Viktor Gyökeres,Mohamed Salah,None,Ola Aina,Yerson Mosquera Valdelamar,0.2,5.2,2,2,0.48657473672317575,95.1
4,Mohamed Salah,Erling Haaland,None,Ola Aina,Yerson Mosquera Valdelamar,0.9,5.9,1,1,0.48657473672317575,93.7
4,Mohamed Salah,Erling Haaland,None,Aaron Ramsey,Yerson Mosquera Valdelamar,0.9,0.9,1,1,0.5260684588751315,93.7
6,Erling Haaland,Mohamed Salah,None,Ola Aina,Jorrel Hato,0.9,0.9,1,1,0.7393321633179525,99.5
6,Erling Haaland,Mohamed Salah,None,Ola Aina,Jorrel Hato,0.2,0.2,1,1,0.7393321633179525,99.5
6,Erling Haaland,Mohamed Salah,None,Ola Aina,Jorrel Hato,0.2,0.2,1,1,0.7393321633179525,99.5
9,Erling Haaland,Martin Dúbravka,None,Ola Aina,Joe Rodon,0.4,6.4,1,1,1.9427222366370307,99.5
9,Erling Haaland,Martin Dúbravka,None,Ola Aina,Joe Rodon,0.4,6.4,1,1,1.9427222366370307,99.5
9,Erling Haaland,Martin Dúbravka,None,Bruno Borges Fernandes,Riccardo Calafiori,0.4,31.4,1,0,2.215819753223311,99.5,"[{""id"": 430, ""position"": ""UNK"", ""opponent_difficulty"": 4.0, ""expected_points"": 2.4946721970742196, ""name"": ""Erling Haaland""}, {""id"": 470, ""position"": ""UNK"", ""opponent_difficulty"": 2.0, ""expected_points"": 1.7563672683922351, ""name"": ""Martin D\u00fabravka""}, {""id"": 241, ""position"": ""UNK"", ""opponent_difficulty"": 3.0, ""expected_points"": 1.7550277304044422, ""name"": ""Mois\u00e9s Caicedo Corozo""}, {""id"": 575, ""position"": ""UNK"", ""opponent_difficulty"": 3.0, ""expected_points"": 1.638946520577354, ""name"": ""Micky van de Ven""}, {""id"": 666, ""position"": ""UNK"", ""opponent_difficulty"": 5.0, ""expected_points"": 1.2953555826687964, ""name"": ""Viktor Gy\u00f6keres""}, {""id"": 5, ""position"": ""UNK"", ""opponent_difficulty"": 5.0, ""expected_points"": 1.2579717710478295, ""name"": ""Gabriel dos Santos Magalh\u00e3es""}, {""id"": 82, ""position"": ""UNK"", ""opponent_difficulty"": 4.0, ""expected_points"": 1.2209277953071096, ""name"": ""Antoine Semenyo""}, {""id"": 38, ""position"": ""UNK"", ""opponent_difficulty"": 3.0, ""expected_points"": 1.1284696028922836, ""name"": ""Ezri Konsa Ngoyo""}, {""id"": 16, ""position"": ""UNK"", ""opponent_difficulty"": 5.0, ""expected_points"": 1.1181211740927635, ""name"": ""Bukayo Saka""}, {""id"": 449, ""position"": ""UNK"", ""opponent_difficulty"": 3.0, ""expected_points"": 0.746854872305435, ""name"": ""Bruno Borges Fernandes""}, {""id"": 507, ""position"": ""UNK"", ""opponent_difficulty"": 2.0, ""expected_points"": 0.049387941752038075, ""name"": ""Ola Aina""}]",[],14.462102456514506
